Designator,Mid X,Mid Y,Layer,Rotation
"C101",151.250,-80.250,top,-90.000
"C102",171.500,-78.248,top,-90.000
"C103",166.000,-78.248,top,-90.000
"C104",160.500,-78.248,top,-90.000
"C105",155.000,-78.248,top,-90.000
"C106",177.000,-86.500,top,-90.000
"C107",147.000,-86.500,top,-90.000
"C108",139.000,-72.000,top,-90.000
"C201",176.000,-90.500,top,-90.000
"C202",183.000,-86.500,top,90.000
"C203",178.000,-94.500,top,-90.000
"C204",174.000,-94.500,top,90.000
"C301",161.000,-90.500,top,-90.000
"C302",168.000,-86.500,top,90.000
"C303",163.000,-94.500,top,-90.000
"C304",159.000,-94.500,top,90.000
"C401",146.000,-90.500,top,-90.000
"C402",153.000,-86.500,top,90.000
"C403",148.000,-94.500,top,-90.000
"C404",144.000,-94.500,top,90.000
"C501",131.000,-90.500,top,-90.000
"C502",138.000,-86.500,top,90.000
"C503",133.000,-94.500,top,-90.000
"C504",129.000,-94.500,top,90.000
"C601",116.000,-90.500,top,-90.000
"C602",123.000,-86.500,top,90.000
"C603",118.000,-94.500,top,-90.000
"C604",114.000,-94.500,top,90.000
"D101",182.500,-80.500,top,90.000
"D102",182.500,-66.500,top,-90.000
"D201",176.500,-97.600,top,0.000
"D301",161.500,-97.600,top,0.000
"D401",146.500,-97.600,top,0.000
"D501",131.500,-97.600,top,0.000
"D601",116.500,-97.600,top,0.000
"J101",155.380,-67.500,top,90.000
"J201",181.500,-117.500,bottom,180.000
"J202",176.000,-110.000,top,180.000
"J203",181.500,-102.500,bottom,180.000
"J301",166.500,-117.500,bottom,180.000
"J302",161.000,-110.000,top,180.000
"J303",166.500,-102.500,bottom,180.000
"J401",151.500,-117.500,bottom,180.000
"J402",146.000,-110.000,top,180.000
"J403",151.500,-102.500,bottom,180.000
"J501",136.500,-117.500,bottom,180.000
"J502",131.000,-110.000,top,180.000
"J503",136.500,-102.500,bottom,180.000
"J601",121.500,-117.500,bottom,180.000
"J602",116.000,-110.000,top,180.000
"J603",121.500,-102.500,bottom,180.000
"Q201",182.465,-95.535,top,180.000
"Q301",167.465,-95.535,top,180.000
"Q401",152.465,-95.535,top,180.000
"Q501",137.465,-95.535,top,180.000
"Q601",122.465,-95.535,top,180.000
"R101",173.500,-78.248,top,-90.000
"R102",168.000,-78.248,top,-90.000
"R103",162.500,-78.248,top,-90.000
"R104",161.500,-86.500,top,-90.000
"R105",159.500,-86.500,top,-90.000
"R106",157.000,-78.248,top,-90.000
"R107",157.500,-86.500,top,-90.000
"R108",180.500,-80.500,top,-90.000
"R109",180.500,-66.500,top,90.000
"R201",185.000,-86.500,top,-90.000
"R202",179.000,-86.500,top,-90.000
"R203",183.000,-90.500,top,-90.000
"R204",185.000,-90.500,top,90.000
"R205",174.000,-90.500,top,90.000
"R301",170.000,-86.500,top,-90.000
"R302",164.000,-86.500,top,-90.000
"R303",168.000,-90.500,top,-90.000
"R304",170.000,-90.500,top,90.000
"R305",159.000,-90.500,top,90.000
"R401",155.000,-86.500,top,-90.000
"R402",149.000,-86.500,top,-90.000
"R403",153.000,-90.500,top,-90.000
"R404",155.000,-90.500,top,90.000
"R405",144.000,-90.500,top,90.000
"R501",140.000,-86.500,top,-90.000
"R502",134.000,-86.500,top,-90.000
"R503",138.000,-90.500,top,-90.000
"R504",140.000,-90.500,top,90.000
"R505",129.000,-90.500,top,90.000
"R601",125.000,-86.500,top,-90.000
"R602",119.000,-86.500,top,-90.000
"R603",123.000,-90.500,top,-90.000
"R604",125.000,-90.500,top,90.000
"R605",114.000,-90.500,top,90.000
"TP101",186.000,-75.000,top,-90.000
"U101",172.500,-73.748,top,90.000
"U102",167.000,-73.748,top,90.000
"U103",161.500,-73.748,top,90.000
"U104",156.000,-73.748,top,90.000
"U105",173.750,-86.750,top,90.000
"U106",143.750,-86.500,top,90.000
"U201",179.500,-90.500,top,180.000
"U301",164.500,-90.500,top,180.000
"U401",149.500,-90.500,top,180.000
"U501",134.500,-90.500,top,180.000
"U601",119.500,-90.500,top,180.000
